observer,luminance_cd_m2,eccentricity_deg,color_direction,stimulus_size_deg,stimulus_shape,num_trials,threshold,threshold_ci_low,threshold_ci_high,threshold_ppd,threshold_ppd_ci_low,threshold_ppd_ci_high,contrast_sensitivity
Obs003,100,0,3,2,1,37,-3.31976664279906,-3.42265799977259,-3.21019302886849,73.1733041462599,66.1642566502273,80.1900551818349,2.05174079948132
Obs004,100,0,3,2,1,50,-3.19420319785072,-3.28118508994611,-3.10081217373392,65.1804892623406,59.6288422076164,70.6516296727295,2.05174079948132
Obs005,100,0,3,2,1,40,-2.54777454063364,-2.68673597393337,-2.34395318022973,33.0759994566192,25.7559037375335,38.7886769697263,2.05174079948132
Obs006,100,0,3,2,1,30,-2.92187071215547,-3.03236656264415,-2.79702101637722,49.8899399661883,43.7640176464809,55.7667188956354,2.05174079948132
Obs007,100,0,3,2,1,31,-3.11223211166771,-3.24692887042411,-2.93365062995498,60.2900902359474,50.4957901463093,68.4618010260139,2.05174079948132
Obs008,100,0,3,2,1,30,-2.66983890860178,-2.7879988447485,-2.54555332065857,38.0614359889052,32.9895651558906,43.3418818657912,2.05174079948132
Obs009,100,0,3,2,1,50,-2.94501530884819,-3.07041833021418,-2.79622220200798,51.0849138982797,43.7265320401524,57.892545546263,2.05174079948132
Obs010,100,0,3,2,1,82,-2.82272561929954,-3.07252751685286,-2.58448340809207,44.9817130286928,34.5263954886629,58.011933267062,2.05174079948132
Obs011,100,0,3,2,1,50,-3.16666867481422,-3.27580283879105,-3.04922618631611,63.5093800828804,56.7020705461206,70.3045221032942,2.05174079948132
Obs012,100,0,3,2,1,31,-3.10968749144059,-3.2321284602569,-2.99657179223195,60.1423281380796,53.8150882468976,67.529857895419,2.05174079948132
Obs013,100,0,3,2,1,50,-3.20048306488786,-3.61339357117276,-3.01224599933444,65.5656839872882,54.6639869979847,94.3573636750519,2.05174079948132
Obs014,100,0,3,2,1,31,-3.22693784697715,-3.34392047817361,-3.08639090488903,67.2050328469596,58.8007393938266,74.7821278561859,2.05174079948132
Obs015,100,0,3,2,1,35,-3.16492678126537,-3.29302423052291,-3.01889095632946,63.4046336605704,55.0265487531139,71.4191660383901,2.05174079948132
Obs016,100,0,3,2,1,50,-2.79889591795043,-2.91878706470246,-2.58973557808717,43.8520844568489,34.7373164747029,49.7321499429401,2.05174079948132
Obs017,100,0,3,2,1,39,-2.9176464048021,-3.04556950238279,-2.78666686254617,49.6738668598222,43.2797910525535,56.4983208179174,2.05174079948132
Obs018,100,0,3,2,1,31,-2.83842581041266,-2.94507699412667,-2.71825961636337,45.7364695173456,40.170089095896,51.0881239866632,2.05174079948132
Obs001,100,10,3,2,1,44,-1.58987857637433,-2.02272369556978,-0.69211262899857,8.037516314243,0.663071432508814,16.5515885572618,2.05174079948132
Obs002,100,10,3,2,1,30,-1.61038249879528,-1.75492018678505,-1.45750203842243,8.35251226418488,6.19237870018739,10.8094128568924,2.05174079948132
Obs003,100,10,3,2,1,30,-1.95361890701981,-2.07138748850877,-1.79629299180185,14.9124686873568,11.5920840713708,17.775181412454,2.05174079948132
Obs004,100,10,3,2,1,50,-2.1238715395339,-2.23372258900235,-1.97060518851517,19.160848257516,15.3048423862066,22.2903918958813,2.05174079948132
Obs005,100,10,3,2,1,50,-0.777141182493411,-0.924013907650016,-0.64723569112368,0.938706374724314,0.542272236226028,1.57784929317914,2.05174079948132
Obs006,100,10,3,2,1,45,-1.80748721058828,-1.92106131197608,-1.69662618073335,11.810157643159,9.76761400020598,14.179263501136,2.05174079948132
Obs008,100,10,3,2,1,35,-1.81957834676926,-1.92922681674358,-1.70478080666769,12.0487578363637,9.90913253850551,14.3608407398716,2.05174079948132
Obs009,100,10,3,2,1,34,-1.56641496785425,-1.72836116191673,-1.41810866246713,7.68688650356144,5.70372430584434,10.3260325987033,2.05174079948132
Obs011,100,10,3,2,1,50,-1.86203223030304,-1.94558539450734,-1.76874959326747,12.9119423308781,11.0669782051264,14.7292586218922,2.05174079948132
Obs012,100,10,3,2,1,75,-1.810669862074,-1.89167316623097,-1.72424853152875,11.872654084492,10.2524955636281,13.5384300580924,2.05174079948132
Obs013,100,10,3,2,1,31,-1.80687999392665,-1.91265005554079,-1.67554803837873,11.7982589438711,9.40807230986507,13.9938285241553,2.05174079948132
